idVenta,idProducto,cantidad,precio,costo,cancelada,idDetalle,creacion,actualizacion,activo
111,CAF009,1,4000,1235.85,False,259,2025-04-19 11:51:56,2025-04-19 11:51:56,True
112,BEB006,2,4000,708.0,False,260,2025-04-19 12:02:04,2025-04-19 12:02:04,True
112,CAF006,1,3000,746.66,False,261,2025-04-19 12:02:04,2025-04-19 12:02:04,True
112,DUL005,1,2800,1400.0,False,262,2025-04-19 12:02:04,2025-04-19 12:02:04,True
112,CAF003,1,3000,1071.31,False,263,2025-04-19 12:02:04,2025-04-19 12:02:04,True
113,ADI003,2,1000,877.2,False,264,2025-04-19 12:19:44,2025-04-19 12:19:44,True
113,DUL008,1,4200,1600.0,False,265,2025-04-19 12:19:44,2025-04-19 12:19:44,True
113,CAF002,1,3500,1071.31,False,266,2025-04-19 12:19:44,2025-04-19 12:19:44,True
113,CAF009,1,4000,1235.85,False,267,2025-04-19 12:19:44,2025-04-19 12:19:44,True
114,CAF014,2,8000,2474.54,False,268,2025-04-19 12:55:48,2025-04-19 12:55:48,True
115,DUL001,2,2400,1000.0,False,269,2025-04-19 12:56:38,2025-04-19 12:56:38,True
115,BEB010,1,3500,21.0,False,270,2025-04-19 12:56:38,2025-04-19 12:56:38,True
115,SAL002,1,4500,1899.0,False,271,2025-04-19 12:56:38,2025-04-19 12:56:38,True
116,DUL004,1,4200,1513.0,False,272,2025-04-19 12:57:52,2025-04-19 12:57:52,True
116,DUL001,1,1200,500.0,False,273,2025-04-19 12:57:52,2025-04-19 12:57:52,True
117,PRO001,1,5200,2071.31,False,274,2025-04-19 13:03:02,2025-04-19 13:03:02,True
117,SAL005,1,4500,1400.0,False,275,2025-04-19 13:03:02,2025-04-19 13:03:02,True
117,CAF001,1,3500,1071.31,False,276,2025-04-19 13:03:02,2025-04-19 13:03:02,True
118,CAF002,1,3500,1071.31,False,277,2025-04-19 13:19:21,2025-04-19 13:19:21,True
118,CAF001,2,7000,2142.62,False,278,2025-04-19 13:19:21,2025-04-19 13:19:21,True
119,CAF005,1,3000,1071.31,False,279,2025-04-19 13:29:43,2025-04-19 13:29:43,True
120,CAF003,1,3000,1071.31,False,280,2025-04-19 13:30:56,2025-04-19 13:30:56,True
120,CAF014,1,4000,1237.27,False,281,2025-04-19 13:30:56,2025-04-19 13:30:56,True
121,ADI002,1,500,0.0,False,282,2025-04-19 13:54:16,2025-04-19 13:54:16,True
121,CAF002,1,3500,1071.31,False,283,2025-04-19 13:54:16,2025-04-19 13:54:16,True
